Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Performance modeling evolving Enterprise Service Oriented Architectures,P. Brebner; L. O'Brien; J. Gray,"NICTA, Canberra Research Laboratory, Computer Sciences Laboratory, RSISE, ANU, Canberra, Australia; NICTA, Canberra Research Laboratory, Computer Sciences Laboratory, RSISE, ANU, Canberra, Australia; NICTA, Canberra Research Laboratory, Computer Sciences Laboratory, RSISE, ANU, Canberra, Australia",2009 Joint Working IEEE/IFIP Conference on Software Architecture & European Conference on Software Architecture,,2009,,,71,80,"NICTA has developed a service oriented performance modeling technology, and for several years has conducted field-trials of the technology in collaboration with government and non-government projects. The technology enables rapid modeling and performance prediction of large-scale heterogeneous service oriented architectures (SOAs), using a methodology and tool support to model and simulate complex service compositions. Evolution in enterprise service oriented architectures (ESOAs) presents significant challenges to managing risks associated with performance and scalability. Four of the field-trials involved the construction and use of models to specifically address performance risks related to the evolution of service architectures, resulting from, and to explore changes in: architecture, services, deployment, resources, and loads. This paper first presents some unifying observations on the architectural commonalities of evolving enterprise services, discusses the performance and scalability challenges, and describes some common approaches to addressing them. We then demonstrate service oriented performance modeling applied to an illustrative example of enterprise service evolution. We conclude with a presentation of four case-studies which summarize our experiences with performance modeling evolving service architectures.",,978-1-4244-4984-2978-1-4244-5295,10.1109/WICSA.2009.5290793,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5290793,,Service oriented architecture;Predictive models;Collaboration;Laboratories;Government;Scalability;History;Australia;Large-scale systems;Risk management,risk management;software architecture;software maintenance;software performance evaluation,enterprise service oriented architectures;NICTA;service oriented performance modeling technology;performance prediction;risk management;service architecture evolution;enterprise service evolution,,2,14,,,,,,IEEE,IEEE Conferences
Service-Oriented Computing: Bringing Business Systems to the Web,Y. Le Blevec; C. Ghedira; D. Benslimane; X. Delatte,Alcatel Vacuum Technology; Claude Bernard University; Claude Bernard University; Alcatel Vacuum Technology,IT Professional,,2007,9,3,19,24,"The notion of ""service"" has spurred major evolutions for both information systems and the Web. A software application is no longer considered a monolithic component; it can be divided into services that are smaller components defined by their function and accessible through well-defined interfaces and protocols. As a result, IT actors are using service-oriented architectures (SOAs) to remodel the information systems of many companies while the Web is increasingly becoming a programmable place. In both domains, developers build composite client applications to consume these services. Even boundaries between enterprise services and Internet services are vanishing. Some companies, such as Strikelron provide enterprise services that were previously always hosted internally - like customer relationship management solutions. As a consequence, companies now have the technologies required to bring their business online. With Web services, private business processes can be exposed to partners through public composite Web applications. When new projects emerge, companies need guidance to properly handle such work. In this context, we aim to provide companies solutions - through a methodology, an architecture, and technical choices - that will help them solve generic problems such as security and application conception",1520-9202;1941-045X,,10.1109/MITP.2007.55,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4216104,Service-oriented computing;SOA;Web services;business systems;Web applications.,Web services;Companies;Service oriented architecture;Information systems;Web server;Middleware;Access protocols;Network servers;Web and internet services;Application software,customer relationship management;information systems;Web services,service-oriented computing;business systems;information systems;enterprise services;Internet services;customer relationship management;Web services,,2,,,,,,,IEEE,IEEE Journals & Magazines
A model-driven process to modernize legacy web applications based on service oriented architectures,E. Sosa; P. J. Clemente; J. M. Conejero; R. Rodríguez-Echeverría,Quercus Software Engineering Group University of Extremadura (Spain); Quercus Software Engineering Group University of Extremadura (Spain); Quercus Software Engineering Group University of Extremadura (Spain); Quercus Software Engineering Group University of Extremadura (Spain),2013 15th IEEE International Symposium on Web Systems Evolution (WSE),,2013,,,61,70,"Web applications (WAs) developed by companies are usually adapted to cover new business rules due to continuous changes in the organization requirements. Service Oriented Architectures (SOA) come to the scene to give a solution to these continuous changes providing a way to align business rules with underlying services. This is why there is a current trend to migrate legacy web applications to new SOAs. However, this migration requires the identification, publication and orchestration of the underlying service layer. These are complex tasks usually carried out ad hoc by manually defining and developing the service layer and its coordination. Moreover, these processes are usually performed at a low abstraction level, close to code, hindering reusability and maintainability of the obtained system. Model-Driven techniques aim at tackling the complexity of these processes since models drive the migration from a higher abstraction level. In that sense, this paper presents a Model-Driven systematic and semiautomatic process to modernize legacy WAs to SOAs. It also relies on techniques that are used to identify and classify the services offered by the different WAs of the organization. On the one hand, conceptual representations of the WAs and the service oriented architecture are obtained. On the other hand, the underlying services of the web applications are generated from models so that they may be offered as an interoperable service layer, which may be aligned with the company business rules and orchestrated with external services.",1550-4441,978-1-4799-1610-8978-1-4799-1608,10.1109/WSE.2013.6642418,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6642418,reverse engineering;web applications;service-oriented architecture;model transformations,Service-oriented architecture;Reverse engineering;Companies;Adaptation models;Computer architecture,Internet;service-oriented architecture,model-driven process;legacy Web applications;service oriented architectures;WA;business rules;SOA;low abstraction level;model-driven techniques;higher abstraction level;semiautomatic process;interoperable service layer,,3,20,,,,,,IEEE,IEEE Conferences
Application Configuration Repository for Adaptive Service-Based Systems: Overcoming Challenges in an Evolutionary Online Advertising Environment,M. E. B. Broinizi; D. Mutti; J. E. Ferreira,NA; NA; NA,2014 IEEE International Conference on Web Services,,2014,,,670,677,"Software engineering has greatly evolved in recent years. Today applications are deployed on heterogeneous distributed infra-structure from mobile devices to cloud computing. Service-oriented architectures, such as SOA and REST Web Services, have been widely used to efficiently design high-availability, scalable and reliable systems for dynamic business environments based on a distributed infra-structure. Despite the improvements these architectures have made to enhance the evolvability of systems, there are some challenges that still need to be overcome. More concretely, service-based systems and development teams are constantly under pressure from business stakeholders who continuously increase their demands for changes in systems. This paper describes a configuration-based approach that can empower adaptive mechanisms in order to overcome this challenge. It presents a solution based on a centralized application configuration repository service specially designed as a RESTful web service API to provide the benefits of configuration, such as adaptability, to high-availability, scalable and loosely coupled systems, allowing them to respond quickly to changes. The solution was successfully implemented in an evolutionary online advertising system used by the largest Brazilian web-portal, responsible for processing 5 billion ad requests per month. It allowed the design of a self-adaptive advertisement ranking mechanism that continuously evolves the system configuration, without human supervision. The adoption of this solution was responsible for a drastic increase in the amount of changes applied in this advertising environment. It also greatly reduced the time from conceiving a new change to having it working in the system. Moreover, the solution is available as open source and it has also being used by several other service-based systems.",,978-1-4799-5054-6978-1-4799-5053,10.1109/ICWS.2014.98,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6928958,configuration;adaptive systems;evolutionary algorithms;online advertising;RESTful,Advertising;Libraries;Java;Service-oriented architecture;Computer architecture,advertising data processing;service-oriented architecture;Web services,application configuration repository;adaptive service-based systems;evolutionary online advertising environment;software engineering;SOA;service-oriented architecture;system evolvability;business stakeholders;configuration-based approach;RESTful Web service;self-adaptive advertisement ranking mechanism;Brazilian Web portal,,1,15,,,,,,IEEE,IEEE Conferences
Towards Application and Evolution of Model-Based Heuristics for Improving SOA Service Design,K. Niklas; J. Greenyer; K. Schneider,NA; NA; NA,2015 IEEE/ACM 7th International Workshop on Modeling in Software Engineering,,2015,,,60,65,"Good service design is key to acceptance and success for a service-oriented architecture (SOA) in an enterprise. Enterprises try to achieve good service design by using guidelines which combine experts' experience, company policies and best practices. Applying, evolving and maintaining guidelines overburdens service designers and reviewers due to the amount and volume. This results in inefficient, costly and frustrating processes. Without an automated support, guidelines provide only limited value to the design process. We describe how our design environment prototype addresses these problems and introduce automatic guideline checks using heuristics on service models. Our evaluation confirms applicability and advantages of our tool. We present a selection of heuristics which are used in our tool. As the second contribution we describe our plan of how to support evolution and maintenance of guidelines and heuristics.",2156-7891;2156-7883,978-1-4673-7055,10.1109/MiSE.2015.18,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7167404,Service Oriented Architecture (SOA);Modeling;Heuristics;Experience;Static Analysis,Guidelines;Unified modeling language;Service-oriented architecture;Business;Documentation;Prototypes,design;service-oriented architecture,model-based heuristics;SOA service design;service-oriented architecture;enterprise;design environment prototype,,,20,,,,,,IEEE,IEEE Conferences
Complex environment evolution: Challenges with semantic service infrastructures,A. Eisfeld; D. A. McMeekin; A. P. Karduck,"Furtwangen University, Germany; Curtin University, Australia; Furtwangen University, Germany",2012 6th IEEE International Conference on Digital Ecosystems and Technologies (DEST),,2012,,,1,6,"Service infrastructures are often key for the efficient operation of complex environments, such as a large Smart Home infrastructure for a mining camp. The evolution of such service infrastructures, in response to an increased workload on the system or a changing resource allocation, is often tedious and expensive, due to weak evolvability support of its service portfolio. This underpins the need for services to be designed with high evolvability characteristics. Semantic Web technologies have been anticipated as a basis for the required Web service evolution. JSON-LD is a prominent Semantic Web technology used in combination with ontologies, developed with the Web Ontology Language (OWL), to face the evolutionary challenges. Our applied research investigates common Web service tasks, automated using above technologies. It is explained, that this enables the creation of evolutionary building blocks. These building blocks are incrementally combined here for the overall service portfolio, culminating in a model of a semantic agent which excels in its capacity to evolve. Our model is then adopted and assessed for the system infrastructure of the Smart Camp project, as a use case for an agile, complex logistic environment.",2150-4946;2150-4938;2150-4938,978-1-4673-1703-0978-1-4673-1702-3978-1-4673-1701,10.1109/DEST.2012.6227937,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6227937,Semantic Service Infrastructures;System Evolvability and Sclability;Semantic Agents;Smart Camp,Semantics;Ontologies;Web services;Sensors;World Wide Web;OWL,knowledge representation languages;ontologies (artificial intelligence);resource allocation;semantic Web;service-oriented architecture;Web services,complex environment evolution;semantic service infrastructures;resource allocation;service portfolio;evolvability characteristics;semantic Web technologies;Web service evolution;JSON-LD;ontologies combination;Web ontology language;OWL;evolutionary challenges;Web service tasks;evolutionary building blocks;overall service portfolio;semantic agent model;Smart Camp project;complex logistic environment;mining camp,,2,14,,,,,,IEEE,IEEE Conferences
A cluster grids based platform for digital copyright protection,F. Frattolillo; F. Landolfi,"Department of Engineering, University of Sannio, Benevento, Italy; Department of Engineering, University of Sannio, Benevento, Italy",2010 12th IEEE International Symposium on Web Systems Evolution (WSE),,2010,,,83,87,"While the advances in networking technologies actually enable mobility and ubiquity of access to computing resources located at different administrative domains, the progress in multimedia technologies has created large amounts of digital content that can be purchased and distributed on the Internet. Within this setting, the problem of the copyright protection of digital content has become a well-known research topic. This paper presents the architecture of a web software platform able to implement the copyright protection of digital content based on digital watermarking technology. The platform is structured as a service-oriented architecture composed of a federation of coordinated web entities and service providers which play distinct roles and interact within a trusted environment. Furthermore, the proposed architecture enables service providers to use a specific middleware to exploit the computing resources they need to provide their protection services. In fact, the middleware can aggregate computing resources directly available on the Internet as well as those belonging to multidomain, non-routable networks, thus enabling service providers to build internal computing environments arranged as cluster grids.",1550-4441,978-1-4244-8637-3978-1-4244-8638,10.1109/WSE.2010.5623564,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5623564,Digital copyright protection;watermarking protocols;service-oriented architectures,Watermarking;Service oriented architecture;IP networks;Computer architecture;Software,copyright;grid computing;Internet;middleware;multimedia computing;software architecture;ubiquitous computing;watermarking,cluster grid;digital copyright protection;networking technology;ubiquity computing;computing resources;multimedia technology;digital content;Internet;Web software platform;digital watermarking technology;service-oriented architecture;coordinated Web entities;service providers;trusted environment;middleware;protection services;multidomain nonroutable network,,1,13,,,,,,IEEE,IEEE Conferences
Supporting context — Aware service evolution with a process management requirements model,J. Huang; H. Yang; L. Xu; B. Xu; H. Zhang,"Software Technology Research Laboratory, De Montfort University, Leicester, LE1 9BH, UK; Software Technology Research Laboratory, De Montfort University, Leicester, LE1 9BH, UK; Department of Computer Science & Technology, Nanjing University, Nanjing, 210093, China; Department of Computer Science & Technology, Nanjing University, Nanjing, 210093, China; School of Software, Tsinghua University, Beijing, 100084, China",2011 IEEE International Conference on Service-Oriented Computing and Applications (SOCA),,2011,,,1,8,"Context-aware services concern with reasoning about surrounding context and adapting services accordingly have attracted much research attention during recent years, whereas the relation between context-aware service evolution and requirements evolution has not caught many researchers' eye. Conventionally, requirements engineering particularly focuses on users' needs, we argue though that developers' needs must be discovered in the course of services evolution process. In this case, the connection between context-aware service evolution and requirements evolution will be fully discovered, in turn, it will better the guide as to how to evolve exiting context-aware services in order to benefit the best from current service assets. To build this connection, we propose a process management requirements model with requirements elicitation techniques to support context-aware service evolution. A medium sized open source case study is carried out for evaluation.",2163-2871,978-1-4673-0319-4978-1-4673-0318-7978-1-4673-0317,10.1109/SOCA.2011.6166229,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6166229,requirements evolution;service evolution;software evolution;requirements modelling;context-aware services,Context-aware services;Context;Context modeling;Evolution (biology);Software systems;Programming,formal verification;ubiquitous computing,context aware service evolution;process management requirements model;requirements evolution;requirements engineering;services evolution process,,1,30,,,,,,IEEE,IEEE Conferences
Improving SOA antipatterns detection in Service Based Systems by mining execution traces,M. Nayrolles; N. Moha; P. Valtchev,"LATECE Team, D&#x00E9;partement d'informatique, Universit&#x00E9; du Qu&#x00E9;bec &#x00E0; Montr&#x00E9;al, Canada; LATECE Team, D&#x00E9;partement d'informatique, Universit&#x00E9; du Qu&#x00E9;bec &#x00E0; Montr&#x00E9;al, Canada; LATECE Team, D&#x00E9;partement d'informatique, Universit&#x00E9; du Qu&#x00E9;bec &#x00E0; Montr&#x00E9;al, Canada",2013 20th Working Conference on Reverse Engineering (WCRE),,2013,,,321,330,"Service Based Systems (SBSs), like other software systems, evolve due to changes in both user requirements and execution contexts. Continuous evolution could easily deteriorate the design and reduce the Quality of Service (QoS) of SBSs and may result in poor design solutions, commonly known as SOA antipatterns. SOA antipatterns lead to a reduced maintainability and reusability of SBSs. It is therefore important to first detect and then remove them. However, techniques for SOA antipattern detection are still in their infancy, and there are hardly any tools for their automatic detection. In this paper, we propose a new and innovative approach for SOA antipattern detection called SOMAD (Service Oriented Mining for Antipattern Detection) which is an evolution of the previously published SODA (Service Oriented Detection For Antpatterns) tool. SOMAD improves SOA antipattern detection by mining execution traces: It detects strong associations between sequences of service/method calls and further filters them using a suite of dedicated metrics. We first present the underlying association mining model and introduce the SBS-oriented rule metrics. We then describe a validating application of SOMAD to two independently developed SBSs. A comparison of our new tool with SODA reveals superiority of the former: Its precision is better by a margin ranging from 2.6% to 16.67% while the recall remains optimal at 100% and the speed is significantly reduces (2.5+ times on the same test subjects).",1095-1350;2375-5369,978-1-4799-2931,10.1109/WCRE.2013.6671307,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6671307,SOA Antipatterns;Mining Execution Traces;Sequential Association Rules;Service Oriented Architecture,Service-oriented architecture;Measurement;Association rules;Couplings;Scattering;Detection algorithms,data mining;quality of service;service-oriented architecture,SOA antipattern detection;service based systems;execution trace mining;SBS-oriented rule metrics;software systems;quality of service;QoS;SOMAD;service oriented mining for antipattern detection;SODA;service oriented detection for antipattern tool;service-method calls sequences;association mining model,,2,37,,,,,,IEEE,IEEE Conferences
Realization of electric power enterprise application integration based on service oriented architecture,J. Z. Cao; H. J. Zhou; Y. Z. Tang; C. X. Guo,"College of Electrical Engineering, Zhejiang University, Hangzhou, ZJ 310027 China; College of Electrical Engineering, Zhejiang University, Hangzhou, ZJ 310027 China; College of Electrical Engineering, Zhejiang University, Hangzhou, ZJ 310027 China; College of Electrical Engineering, Zhejiang University, Hangzhou, ZJ 310027 China",IEEE PES General Meeting,,2010,,,1,5,"Considering the recent developing trends of electric power enterprise towards digitalization and informationization, EAI is adopted in this paper to solve the “information island” problem. Firstly the evolution process of traditional EAI solutions is reviewed. Then A SOA based EAI is investigated as an important method to develop a digital grid for enterprise business operation and control. Then the SOA-based EAI framework is proposed and its implementation is discussed respectively. The framework consists of data integration layer and business process integration layer. The integrated framework can provide CIM-based standard data service and enable the automatic implementation of business process. Finally the evaluation of SOA-based EAI implementation is undertaken in SMEPC, which is presented in this paper as an example.",1932-5517;1944-9925;1944-9925,978-1-4244-6551-4978-1-4244-6549-1978-1-4244-6550-7978-1-4244-8357,10.1109/PES.2010.5589680,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5589680,Business Process Integration;CIM;Data Integration;EAI Middleware Platform;Metadata Mapping;SOA,Business;Service oriented architecture;Power systems;Object oriented modeling;Computer integrated manufacturing;Electrical engineering,electric power generation;power grids;power system control,electric power enterprise application integration;service oriented architecture;information island;digital grid;enterprise business operation;enterprise business control;data integration layer;business process integration;automatic implementation;SMEPC,,2,14,,,,,,IEEE,IEEE Conferences
Rational unified process for service oriented application in extreme programming,G. S. Rao; C. V. P. Krishna; K. R. Rao,"KL University; KL University; S&amp;F welfare, KL University","2013 Fourth International Conference on Computing, Communications and Networking Technologies (ICCCNT)",,2013,,,1,6,"In the last decades the complexity of software development projects had a significant increase. This complexity emerges from the higher degree of sophistication in the contexts they aim to serve and from the evolution of the functionalities implemented by the applications. The Service Oriented Architecture (SOA), a document review investigation has taken place with the objective to compare SOA development with two highly used agile software development methods: Extreme Programming (XP) and Relational Unified Process (RUP). The motor behind this investigation is to see if this agile development methods are capable enough to design effectively and efficiently SOA type applications. The investigation concluded that both methodologies are not exactly suited to create SOA applications, but RUP has a greater chance to provide SOA type applications if the proper adjustments are made, specially on the design side of the methodology.",,978-1-4799-3926-8978-1-4799-3925,10.1109/ICCCNT.2013.6726586,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6726586,Service Oriented Architecture;Software Development Methods;Extreme Programming;Relational Unified Process (RUP),Service-oriented architecture;Semiconductor optical amplifiers;Business;Documentation;Programming;Computer architecture,project management;service-oriented architecture;software prototyping,rational unified process;service oriented application;extreme programming;software development project complexity;service oriented architecture;document review investigation;SOA development;agile software development methods;XP;relational unified process;RUP,,,30,,,,,,IEEE,IEEE Conferences
Change impact analysis for service based business processes,Y. Wang; J. Yang; W. Zhao,"Department of Computing, Faculty of Science, Macquarie University, NSW, 2109 Australia; Department of Computing, Faculty of Science, Macquarie University, NSW, 2109 Australia; Department of Computing, Faculty of Science, Macquarie University, NSW, 2109 Australia",2010 IEEE International Conference on Service-Oriented Computing and Applications (SOCA),,2010,,,1,8,Change management is critical and challenging in the development and maintenance of service-based applications and information systems due to the distributed and dynamic nature of services. This paper proposes an approach for facilitating the change impact analysis in a service oriented environment. This research focuses on a typical scenario that multiple services are supported by a single business process. The change impact is analyzed based on the study of the dependency between services and business processes. Types of changes and change impact patterns are identified on the foundation of a service oriented business process model. These change types and the impact patterns can be used to enable the analysis of change propagation of the business process and associated services. Algorithms for computing impact scopes of changes are provided.,2163-2871,978-1-4244-9801-7978-1-4244-9802-4978-1-4244-9800,10.1109/SOCA.2010.5707155,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5707155,service oriented computing;web service;change management;service evolution;business process,Process control;Connectors;Information systems;System-on-a-chip;Companies;Taxonomy,business data processing;distributed processing;information systems;management of change;service-oriented architecture,change impact analysis;service based business processes;change management;service-based applications;information systems;distributed services;dynamic services;service oriented environment;service oriented business process model,,15,21,,,,,,IEEE,IEEE Conferences
Service Evolution Lifecycle for Service Oriented Architecture,R. W. Maule; W. C. Lewis,NA; NA,2009 Congress on Services - I,,2009,,,461,462,This paper presents some lessons learned from complex field experimentation with SOA initiatives over the past 5 years. These were large-scale experiments with nodes in several countries and 100s of participants. Tested scenarios included support for coalition and civilian agencies for disaster relief in international emergencies. SOA technologies were tested as communications and information resources for both human usability and service interoperability.,2378-3818,978-0-7695-3708,10.1109/SERVICES-I.2009.69,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5190658,SOA;SOA lifecycle,Service oriented architecture;Object oriented programming;Information technology;Semiconductor optical amplifiers;Testing;Personnel;Computer architecture;Large-scale systems;Information resources;Humans,emergency services;software architecture;Web services,service evolution lifecycle;service oriented architecture;civilian agencies;disaster relief;international emergencies;SOA technologies;human usability;service interoperability,,1,6,,,,,,IEEE,IEEE Conferences
The Design and Implementation of Art Examination Management System Based on SOA,S. Liu; S. Liu,NA; NA,2009 International Conference on Computational Intelligence and Software Engineering,,2009,,,1,3,"SOA (service-oriented architecture) is a component model, which can integrate the different function modules by defined interfaces in system. SOA technology has been used wildly in the field of enterprise realized the enterprise applications integration. Struts is an structure of MVC based on SOA, using J2EE based on the combination of Struts framework and Web application to develop information management system not only can effectively shorten the development cycle simplify the code and improve the efficiency of the system development, but also enhance the maintainability and scalability of the system. In this paper, art examination management system based on SOA has been established. The basic idea of the system is to integrate art examination resources freely and share data and functions. The art examination management system based on SOA can eliminate information islands, simplify applications. Finally it can make the automation and high efficiency of the management come true in the art examination work.",,978-1-4244-4507,10.1109/CISE.2009.5364596,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5364596,,Art;Semiconductor optical amplifiers;Service oriented architecture;Educational institutions;Application software;Educational technology;Portals;Resource management;Computer science;Software architecture,computer based training;humanities;information management;software architecture;user interfaces;Web services,art examination management system;SOA;service-oriented architecture;function modules;enterprise applications integration;J2EE;Web application;information management system,,,8,,,,,,IEEE,IEEE Conferences
Active Customization-Oriented Adaptive SOA with Runtime Exception Handling,B. Wen; Z. Luo; Y. Wen,NA; NA; NA,2016 13th Web Information Systems and Applications Conference (WISA),,2016,,,103,107,"Service has become the basic way to access and enlarge the capability of all kinds of infrastructure. But now, service-based software system based on SOA lacks of runtime iterative re-aggregation process management and exception handling. And current approaches can't align services aggregation with requirements to overcome the runtime exceptions and deal with services resource insufficiency and context changes. This paper concentrates on the adaptability of service-based system, i.e. runtime exception handling mechanism driven by personalized requirements. The following progresses have been achieved. (1) Service requester-centric adaptive SOA with runtime exception handling has been investigated. (2) Mathematical basis and related algorithm for adaptive SOA have been built and verified. Combination of theoretical research and empirical validation, the paper tries to provide a technical operational and cost-effective solution for SOA with adaptive mechanism and promoting the adaptive ability for runtime requirements evolution.",,978-1-5090-5437-4978-1-5090-5438,10.1109/WISA.2016.30,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877274,personalized customization;adaptive SOA;exception handling;runtime,Runtime;Service-oriented architecture;Production;Semantics;Algorithm design and analysis;Context,data aggregation;exception handling;service-oriented architecture,active customization-oriented adaptive SOA;runtime exception handling;service-based software system;runtime iterative reaggregation process management;service-based system adaptability;service requester-centric adaptive SOA,,,7,,,,,,IEEE,IEEE Conferences
The Impact Analysis Model for Web Service Evolution,W. Zuo; Y. Amghar; A. Benharkat,NA; NA; NA,2015 IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT),,2015,1,,457,460,"Web Service is always subject to change. As more enterprises choose to migrate to Service-oriented Architecture (SOA), the Web services and their stakeholders are facing a more distributed and dynamic environment. The evolution ofWeb services consumer requirements and the competitive pressures encourage web service providers to always make efforts to improve and update services by publishing continuously new versions. In this context, each participant in SOA will be involved in the issue of the Web Service evolution. Before reacting to this evolution, an impact analysis must be done to estimate the sideeffect caused by the changes that occur during the evolution. In this paper, we propose an impact analysis model based on the change-centric Web Service evolution model and dependency impact analysis model. It can be used for estimating the impact of Web Service evolution for different stakeholders.",,978-1-4673-9618-9978-1-4673-9617,10.1109/WI-IAT.2015.199,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7396848,Web Service;impact;evolution;adaptation,Analytical models;Stakeholders;Service-oriented architecture;Adaptation models;Measurement,service-oriented architecture;Web services,Web service evolution;service-oriented architecture;SOA;distributed environment;dynamic environment;consumer requirement;competitive pressure;change-centric Web Service evolution model;dependency impact analysis model,,,16,,,,,,IEEE,IEEE Conferences
Evolution of SOA Concepts in Telecommunications,T. Magedanz; N. Blum; S. Dutkowski,Fraunhofer Institute FOKUS/Technical University Berlin; Fraunhofer Institute FOKUS/Technical University Berlin; Fraunhofer Institute FOKUS/Technical University Berlin,Computer,,2007,40,11,46,50,"The telecommunications industry has always been service-oriented. However, the convergence-driven need to deliver seamless services across different access networks has forced operators to embrace new approaches, including the intelligent network, Web-services-based APIs, and, most recently, the IP multimedia subsystem. Today, SOA is considered state of the art for service-delivery platforms. Such platforms for value-added services have evolved from the intelligent network (IN) and object-oriented programming interfaces to recent Web-services-based platforms. They've exploited the most recent information technologies to implement an open set of service components. Web 2.0's recent emergence, meanwhile, has further pressured telecom companies to implement an open service market based on an open set of enabling services and service components.",0018-9162;1558-0814,,10.1109/MC.2007.384,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4385256,service orientation;telecommunications industry;Intelligent Network;IP Multimedia Subsystem;Web services,Semiconductor optical amplifiers;Intelligent networks;Service oriented architecture;Protocols;Functional programming;Switches;Telecommunication switching;Centralized control;Standardization;Logic programming,application program interfaces;intelligent networks;IP networks;multimedia communication;object-oriented programming;open systems;telecommunication computing;Web services,telecommunication industry;service-oriented architecture;intelligent network;Web-services-based API;IP multimedia subsystem;service-delivery platform;value-added services;object-oriented programming interface;information technology;open service component,,23,15,,,,,,IEEE,IEEE Journals & Magazines
On managing evolution of configurable services based on configurable processes,H. Sbai; M. Fredj; B. Chakir; L. Kjiri,"AlQualsadi Research Team on Enterprise Architecture, ENSIAS, Mohammed V University of Rabat, (10000), Morocco; AlQualsadi Research Team on Enterprise Architecture, ENSIAS, Mohammed V University of Rabat, (10000), Morocco; AlQualsadi Research Team on Enterprise Architecture, ENSIAS, Mohammed V University of Rabat, (10000), Morocco; AlQualsadi Research Team on Enterprise Architecture, ENSIAS, Mohammed V University of Rabat, (10000), Morocco",2014 Second World Conference on Complex Systems (WCCS),,2014,,,616,621,"Today, SOA is the most dominant and broadly adopted architecture style by enterprises. It defines how to use services to achieve business goals, and allows interoperability with multiple customers within different business domains. The growing use of SOA has increased research interest on how to improve the reuse of services. Hence, managing services variability was introduced by many approaches as a new leading edge concept for improving reuse. Indeed, variability refers to the characteristic of a system to adapt, specialize and configure itself with the context of use. Several proposals have been made in this respect. However, none of these seem to deal with the evolution of these configurable services. In service oriented systems, the evolution of services is usually introduced by the evolution of the associated business process. Therefore, if a configurable process model (CPM for short) should evolve in reaction to changing business needs, the associated configurable services (CS for short) are also impacted by this change. In our previous work, we proposed a complete methodology for managing evolution in configurable process models. In this paper, we extend our proposed approach to develop an evolution process for managing the changes of configurable services (variable services) caused by changing the associated configurable process model.",,978-1-4799-4647-1978-1-4799-4648,10.1109/ICoCS.2014.7060934,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7060934,configurable service;evolution;configurable process model;variability,Contracts;Lead;Object recognition;Face;Collaboration,service-oriented architecture;software reusability,configurable service evolution management;configurable process;SOA;service-oriented architecture;business goal;service variability management;service reuse;configurable process model;CPM;variable services,,,33,,,,,,IEEE,IEEE Conferences
